Product Name,Supplier Name
MODERN SWEET PLUS350G,G.V. AGENCY
MAPILAI SAMBHA 1 KGS,BAJAR ITEM
PENTONIC 0.6 BALL PEN10,STAR STATIONERIES
HARINI WHITE ELLU 100G,RANUJA ENTERPRISES
SPADE POLY THREAD 6.50,BAJAR ITEM
AACHI CHILLI POWDER-100GMS,AV CUBE LOGISTIC
NATURE POWER SOAP PAPAYA AURA -125GMS,GAYATHRI TRADERS NP
UDHAYAM IDLY RICE 5KG,SHRI LAKSHMI AGRO FOODS Pvt Ltd
CRAFT BEADS,BISMI SCHOOL NEEDS
VIJAY IDLI&DOSA BATTER,VIJAY HOME FOODS
HAIR BAND -15RS,BAJAR ITEM
SOMBU 200G MG,BAJAR ITEM
RIN ALA-200MLT,AMMAN ENTERPRISE
EYETEX BLACK GOLD-10RS,ISAI TRADERS
MANI MARKBLACK SESAME BALL -70GMS,P.R.ENTERPRISES
MICRO FIBRE CLOTH,ROYAL MARKETING
TAJ MAHAL TEA RICH&FLAV-250GRS,AMMAN ENTERPRISE
BRIT JIM JAM 25,R.K.MARKETING
CINTHOL ORIGINAL-75GMS,IRAIVI ENTERPRISES
BDAY BALOON 18,SUN DECORATION CENTRE
DARK FANTASY BOURBON RS.10 20EXTRA-55GMS,NANDHINI TRADE
RED MYSORE DHALL 500G MG,BAJAR ITEM
KOLAM RAW RICE 1KG,BAJAR ITEM
RED MYSORE DHALL 200G MG,BAJAR ITEM
PRINTED LUNCH BAG MED,KAVITHA BAG HOUSE
INDIA GATE SUPER BASMATHI-1KGS,SAKTHI ENTERPRICES
SAKTHI CHICKEN MASALA-50GMS,SUNSEENU MARKETING
ORIGINAL KIMIA DATES,RANUJA ENTERPRISES
SABENA DISHWASH POWDER-1KGS,T.J.MARKETING
BARLEY -100GMS,BAJAR ITEM
PARRYS JAGGERY POWDER-500GMS,K R MARKETING
BINDI RS.8,GAYATHRI JEWELLERS
SAKTHI PEPPER POWDER-50GMS,SUNSEENU MARKETING
CHIA SEED 100GM,JHONSON MASALA
GOOREJ AER POWER POCKET,IRAIVI ENTERPRISES
HOME LITES MATCH BOX-239PCS,NANDHINI TRADE
COOUNTRY SUGAR-500GMS,SRIRAM TRADERS
A4 CHART -1PCS,HARI OM STATIONARY
SAKTHI CORIANDER POWDER-100GMS,SUNSEENU MARKETING
BISON TOILED DESCALER-500MLT,BISON CONSUMER PRODUCTS
KAMBU SEMIYA-180GMS,MM ENTERPRISES
FLAIR PEN,A.S AGENCIES
