S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Supplier Name,Category,Sales Rank
157,38169,HAMAM NEEM NEW-100GMS,346.0,14777.28,927.0,6.27,AMMAN ENTERPRISE,Others,157
158,66030,DAIRYMILK CHOCOLATE- RS 20,344.0,6604.8,464.4,7.03,SAKTHI AGENCIES MT,Beverages - Soft Drinks,158
159,64803,MILK BIKIS NEW 10 CLASSIC,342.0,3350.96,242.57,7.24,R.K.MARKETING,Dairy - Milk,159
160,63938,OREO BISCUIT CHOCO10 POKO,338.0,3244.8,172.38,5.31,SAKTHI AGENCIES MT,Snacks - Biscuits & Cookies,160
161,64687,PENTEL WOW 07 BALLPOINT PEN,337.0,3033.0,670.63,22.11,SRI KAMATCHI ENTERPRISES,Stationery,161
162,28589,SIVAJI BOILED RICE 5KG,336.0,132720.0,10626.0,8.01,SELVANAMPI,Staples - Grains,162
163,66500,THIRUMATHI GOLD SUN OIL 1LIT,334.0,46092.0,2338.0,5.07,RAJHAM REFINERIES,Staples - Oils,163
164,12787,FULL CASHEW 100G MG,334.0,43086.0,6262.5,14.53,BAJAR ITEM,Others,164
165,12743,ROUND CHILLI NEW 200GM MG,334.0,22152.0,5459.73,24.65,BAJAR ITEM,Others,165
166,12855,SMALL MUSTARD-200GMS,332.0,9827.2,3203.8,32.6,BAJAR ITEM,Staples - Oils,166
167,34393,HAUSER XO PEN,329.0,2961.0,405.16,13.68,STAR STATIONERIES,Stationery,167
168,64321,YIPPEE NOODLES MAGIC MASALA-70GMS,329.0,4737.6,275.14,5.81,NANDHINI TRADE,Spices,168
169,14543,PASUMARK SESAME SEED 100G,327.0,12426.0,3746.43,30.15,MM ENTERPRISES,Staples - Oils,169
170,13286,IR20 IDLY RICE-1KGS,327.0,20306.5,2120.93,10.44,BAJAR ITEM,Staples - Grains,170
171,12608,RAGI 1KG MG,326.0,18737.0,3197.25,17.06,BAJAR ITEM,Others,171
172,1964,SAKTHI GARAM MASALA-50GMS,326.0,11736.0,4706.26,40.1,SUNSEENU MARKETING,Spices,172
173,1958,SAKTHI SAMBAR POWDER-50GMS,325.0,8482.5,3580.05,42.21,SUNSEENU MARKETING,Others,173
174,12220,DRY GINGER 50G,322.0,12558.0,6012.3,47.88,BAJAR ITEM,Others,174
175,12087,PUMPKIN SEEDS-100GMS,319.0,20525.0,7065.9,34.43,BAJAR ITEM,Others,175
176,2034,PORNA RICE BRAN OIL-1KLR,318.0,56936.0,6950.76,12.21,SRI SAKTHI AGENCIES,Staples - Grains,176
177,65383,SURF EXCEL MATIC TOP LOAD VALUE PACK,315.0,40635.0,2466.45,6.07,AMMAN ENTERPRISES COOM ENTERPRISE,Others,177
178,12680,KOTHUMAI 1KG,314.0,16956.0,2942.0,17.35,BAJAR ITEM,Others,178
179,64859,MILK BIKIS NEW10,313.0,3004.8,150.24,5.0,R.K.MARKETING,Dairy - Milk,179
180,12506,DHANIYA-500G,311.0,21770.0,4462.85,20.5,BAJAR ITEM,Others,180
181,23383,JOINER JUICE,309.0,19158.0,4326.0,22.58,GRACE FOODS,Beverages - Juices,181
182,13101,NICE AVAL-500GMS,308.0,13993.0,4191.25,29.95,BAJAR ITEM,Others,182
183,5790,MILKY MIST CURD-135GMS,307.0,2947.2,245.6,8.33,CHENNIMALAI AGENCIES,Dairy - Milk,183
184,26730,SINGLE HOOK AMBA,307.0,3075.0,1540.28,50.09,BAJAR ITEM,Others,184
185,13232,KASHMIRI CHILLI LONG-200GM,306.0,20389.5,4938.21,24.22,BAJAR ITEM,Others,185
186,6422,GIFT PAPER-5RS,303.0,1551.0,916.34,59.08,BISMI SCHOOL NEEDS,Others,186
187,66247,VIM BAR SOAP RS - 30,302.0,8697.6,643.26,7.4,AMMAN ENTERPRISE,Personal Care - Soap,187
188,53737,SINGH SATRANG CONE15,301.0,4214.0,2237.27,53.09,GAYATHRI JEWELLERS,Others,188
189,4073,HAIR CLIP -10RS,301.0,3010.0,1520.5,50.51,GAYATHRI JEWELLERS,Others,189
190,1714,AACHI TURMERIC POWDER-100GMS,300.0,11340.0,4440.0,39.15,AV CUBE LOGISTIC,Spices,190
191,12175,SAMBA RAVAI-500GMS,296.0,29836.8,7044.8,23.61,JAWA PRIYA FOOD PRODUCTS,Others,191
192,1839,AACHI GARAM MASALA-50GMS,296.0,9590.4,3078.4,32.1,AV CUBE LOGISTIC,Spices,192
193,41231,JAGGERY POWDER 500GM,295.0,15930.0,4082.8,25.63,SRI MAHALAKSHMI TRADERS,Staples - Sugar & Salt,193
194,12275,ANNACHI POO 25G MG,294.0,9996.0,4748.1,47.5,BAJAR ITEM,Others,194
195,55874,2020 POTATO CHIPS,294.0,10734.0,2543.18,23.69,RR FOODS,Snacks - Chips,195
196,64074,PARLE-G NEW 12.5EXTR-10RS,293.0,2812.8,281.28,10.0,A SQUARE MARKETING,Others,196
197,12841,MEAL MEKER 200G MG,292.0,7300.0,2701.0,37.0,BAJAR ITEM,Others,197
198,66650,PARLE-G 12.5-5RS,291.0,1396.8,139.68,10.0,A SQUARE MARKETING,Others,198
199,5594,COMB -10RS,291.0,2910.0,1309.3,44.99,MEENAAKSHI ENTERPRISES,Others,199
200,3908,BANGLES COLOUR-30RS,291.0,8730.0,4272.36,48.94,RSM POOJA ITEMS,Others,200
201,62650,SATHA PATTAI 10GM,289.0,3377.0,2044.68,60.55,BAJAR ITEM,Staples - Grains,201
202,66428,CHITHTHI VEETTU MURUKU,288.0,17271.0,5175.0,29.96,CHITHTHI VEETTU MURUKU,Others,202
203,12093,RED KARAMANI 200GM,287.0,8466.5,3042.2,35.93,BAJAR ITEM,Others,203
204,64096,RIN BAR RS.20,286.0,5503.2,355.54,6.46,AMMAN ENTERPRISE,Others,204
205,12452,PATTANI 200G MG,286.0,9724.0,2817.1,28.97,BAJAR ITEM,Staples - Grains,205
206,57260,DABUR RED PASTE 36G,283.0,5334.24,634.94,11.9,VINAYAGA&Co,Others,206
207,901,PARRYS AMRIT BROWN SUGAR-500GMS,282.0,13818.0,1128.0,8.16,K R MARKETING,Staples - Sugar & Salt,207
208,14333,NAPHTHALENE BALLS,281.0,13769.0,3950.86,28.69,SMILE INDIA,Others,208
209,1942,SAKTHI TURMERIC POWDER-100GMS,280.0,11340.0,4760.0,41.98,SUNSEENU MARKETING,Spices,209
210,39195,FLAIR GLASS GEL,280.0,2454.43,354.43,14.44,A.S AGENCIES,Others,210
211,12086,CORN CHIPS-200GMS,279.0,8091.0,4575.6,56.55,BAJAR ITEM,Snacks - Chips,211
212,39095,MILKY MIST CURD NEW-500GMS,279.0,11439.0,1009.98,8.83,CHENNIMALAI AGENCIES,Dairy - Milk,212
213,39561,DURGA BABY SPOON,278.0,7592.0,2765.68,36.43,SUNSHINE STEELS,Baby Care,213
214,66587,L.G.ASAFOETIDA POWDER 20 EXTRA,277.0,25428.6,5769.49,22.69,T.P.ANNAPOORANI ENTERPRISES,Others,214
215,12829,SURUL PATTAI 25G MG,276.0,16284.0,6502.56,39.93,JHONSON MASALA,Staples - Grains,215
216,12595,LONG CHILLLY 500G MG,276.0,25498.0,4535.41,17.79,BAJAR ITEM,Others,216
217,3219,NAGA RAVA-1KGS,275.0,26928.0,5753.0,21.36,J.S.AGECIES,Others,217
218,1943,SAKTHI CHILLI POWDER-50GMS,273.0,5341.15,2260.77,42.33,SUNSEENU MARKETING,Others,218
219,37026,HAIR BAND-15 PEARL,273.0,4095.0,2184.0,53.33,GAYATHRI JEWELLERS,Others,219
220,12666,BIG MUSTARD 200G MG,273.0,8080.8,2634.45,32.6,BAJAR ITEM,Staples - Oils,220
221,21644,SRILALITHA IDLY RAVA-1KGS,271.0,19512.0,3861.75,19.79,ANNA LAKSHMI STORES,Others,221
222,13266,HAMSA RAW RICE-1KGS,270.0,18846.0,1269.0,6.73,BAJAR ITEM,Staples - Grains,222
223,18798,BRITANNIA NUTRI CHOICE DIGESTIVE-50GMS,270.0,2592.0,258.56,9.98,R.K.MARKETING,Others,223
224,55033,SAMSUNG 1421 TOWEL,267.0,7711.0,2582.62,33.49,SHIV SHAKTHI BELT HOUSE,Others,224
225,7865,UDTHAIYAM MOONG DHALL-1KGS,265.0,40389.3,3938.55,9.75,SHRI LAKSHMI AGRO FOODS Pvt Ltd,Staples - Pulses,225
226,37028,HAIR BAND-8 BLACK,262.0,2096.0,1303.0,62.17,BAJAR ITEM,Others,226
227,12643,PEPPER SEED 50G MG,260.0,15470.0,4684.32,30.28,BAJAR ITEM,Spices,227
228,15255,VILAKU THIRI RS 5,260.0,2600.0,1755.0,67.5,BAJAR ITEM,Others,228
229,12852,KITCHEN TOWEL BIG,260.0,11700.0,4875.0,41.67,BAJAR ITEM,Others,229
230,12751,CLOVE 10G MG,259.0,5050.5,1815.59,35.95,BAJAR ITEM,Spices,230
231,1329,LG ASAFOETIDA POWDER-50GMS,258.0,21930.0,5681.16,25.91,T.P.ANNAPOORANI ENTERPRISES,Others,231
232,3470,AGMARK THANGAM GINGELLY OIL-500MLT,257.0,48573.0,3906.4,8.04,SRI ANNAPOORANI AGENCIES,Staples - Oils,232
233,64734,VIM BAR NEEM CLEAN,257.0,2446.27,115.28,4.71,AMMAN ENTERPRISES COOM ENTERPRISE,Others,233
